chapter	section_id	title	chap_num	idx	mission_primary
15_parser_and_expansion	02_dotcommand_dispatch	Dot-command dispatch	15	2	circuit_design_validation
15_parser_and_expansion	03_subcircuit_expansion_mechanics	Subcircuit expansion	15	3	circuit_design_validation
15_parser_and_expansion	04_parameter_substitution_numparam	Parameter substitution (numparam)	15	4	circuit_design_validation
15_parser_and_expansion	05_expression_evaluator	Expression evaluator	15	5	circuit_design_validation
15_parser_and_expansion	06_parser_error_handling	Parser error handling	15	6	circuit_design_validation
16_command_interpreter	01_nutmeg_spice3_command_overview	Nutmeg / Spice3 commands	16	1	circuit_design_validation
16_command_interpreter	02_simulation_run_commands	Simulation run commands	16	2	circuit_design_validation
16_command_interpreter	03_vector_manipulation_commands	Vector manipulation	16	3	circuit_design_validation
16_command_interpreter	04_plot_print_commands	Plot and print commands	16	4	circuit_design_validation
16_command_interpreter	05_control_block_scripting	.control scripting	16	5	circuit_design_validation
16_command_interpreter	06_breakpoints_and_alter	Breakpoints and alter	16	6	circuit_design_validation
16_command_interpreter	07_save_load_state	Save/load state	16	7	circuit_design_validation
17_output_and_results	01_vector_data_model	Vector data model	17	1	circuit_design_validation
17_output_and_results	02_raw_file_format_spec	Raw file format	17	2	circuit_design_validation
17_output_and_results	03_print_format_text_output	Print output	17	3	circuit_design_validation
17_output_and_results	04_measure_extraction_idioms	.measure idioms	17	4	circuit_design_validation
17_output_and_results	05_fft_command	FFT command	17	5	circuit_design_validation
17_output_and_results	06_consuming_raw_with_pyspice	Consuming .raw (PySpice)	17	6	circuit_design_validation
18_options_and_tolerances	01_options_overview	Options overview	18	1	circuit_design_validation
18_options_and_tolerances	02_tolerance_options_reltol_abstol_vntol_chgtol	Tolerance options	18	2	circuit_design_validation
18_options_and_tolerances	03_iteration_limit_options_itl	ITL options	18	3	circuit_design_validation
18_options_and_tolerances	04_gmin_and_gminsteps	GMIN and GMINSTEPS	18	4	circuit_design_validation
18_options_and_tolerances	05_method_options_trap_gear	Integration method options	18	5	circuit_design_validation
18_options_and_tolerances	06_temperature_options	Temperature options	18	6	circuit_design_validation
18_options_and_tolerances	07_print_save_options	Print/save options	18	7	circuit_design_validation
18_options_and_tolerances	08_options_in_practice	Options in practice	18	8	circuit_design_validation
19_circuit_design_patterns	01_typical_dc_op_workflow	Typical DC OP workflow	19	1	circuit_design_validation
19_circuit_design_patterns	02_typical_transient_workflow	Typical transient workflow	19	2	circuit_design_validation
19_circuit_design_patterns	03_typical_ac_workflow	Typical AC workflow	19	3	circuit_design_validation
19_circuit_design_patterns	04_parametric_sweep_idioms	Parametric sweep idioms	19	4	circuit_design_validation
19_circuit_design_patterns	05_monte_carlo_idioms	Monte Carlo idioms	19	5	circuit_design_validation
19_circuit_design_patterns	06_optimization_outer_loop_patterns	Optimization patterns	19	6	circuit_design_validation
19_circuit_design_patterns	07_subcircuit_design_pattern	Subcircuit design pattern	19	7	circuit_design_validation
19_circuit_design_patterns	08_temperature_corner_analysis	Temperature corners	19	8	circuit_design_validation
20_debugging_workflows	01_dc_op_no_convergence	DC OP no convergence	20	1	circuit_design_validation
20_debugging_workflows	02_timestep_too_small	Timestep too small	20	2	circuit_design_validation
20_debugging_workflows	03_singular_matrix_error	Singular matrix	20	3	circuit_design_validation
20_debugging_workflows	04_charge_non_conservation_artifacts	Charge non-conservation artifacts	20	4	circuit_design_validation
20_debugging_workflows	05_unrealistic_results	Unrealistic results	20	5	circuit_design_validation
20_debugging_workflows	06_oscillation_in_simulation_not_circuit	Numerical oscillation	20	6	circuit_design_validation
20_debugging_workflows	07_convergence_aid_directive_sequence	Convergence aid sequence	20	7	circuit_design_validation
20_debugging_workflows	08_diagnosing_via_print_intermediate	Print-based diagnosis	20	8	circuit_design_validation
20_debugging_workflows	09_initial_conditions_misuse	Initial conditions misuse	20	9	circuit_design_validation
20_debugging_workflows	10_subcircuit_naming_collision	Subcircuit naming collision	20	10	circuit_design_validation
21_validation_with_regression_suite	01_regression_suite_organization	Regression suite organization	21	1	circuit_design_validation
21_validation_with_regression_suite	02_running_regression_tests	Running regression tests	21	2	circuit_design_validation
21_validation_with_regression_suite	03_reading_reference_outputs	Reading reference outputs	21	3	circuit_design_validation
21_validation_with_regression_suite	04_using_tests_for_nodalai_validation	Tests for NodalAI validation	21	4	kernel_reimplementation
21_validation_with_regression_suite	05_writing_a_new_regression_test	Writing a new regression test	21	5	circuit_design_validation
22_nodalai_kernel_reimplementation	01_nodalai_overview_and_scope	NodalAI overview	22	1	kernel_reimplementation
22_nodalai_kernel_reimplementation	02_porting_strategy_layer_by_layer	Porting strategy	22	2	kernel_reimplementation
22_nodalai_kernel_reimplementation	03_python_equivalents_for_c_kernel	Python equivalents	22	3	kernel_reimplementation
22_nodalai_kernel_reimplementation	04_invariants_checklist	Invariants checklist	22	4	kernel_reimplementation
22_nodalai_kernel_reimplementation	05_validation_against_ngspice_reference	Validation vs ngspice	22	5	kernel_reimplementation
22_nodalai_kernel_reimplementation	06_handling_indirect_dispatch_in_python	Indirect dispatch in Python	22	6	kernel_reimplementation
22_nodalai_kernel_reimplementation	07_porting_bsim4_pragmatically	Porting BSIM4	22	7	kernel_reimplementation
22_nodalai_kernel_reimplementation	08_known_porting_pitfalls	Known porting pitfalls	22	8	kernel_reimplementation
23_canonical_chains_reference	01_dc_operating_point_chain	DC operating point chain	23	1	kernel_reimplementation
23_canonical_chains_reference	02_transient_step_chain	Transient step chain	23	2	kernel_reimplementation
23_canonical_chains_reference	03_ac_analysis_chain	AC analysis chain	23	3	kernel_reimplementation
23_canonical_chains_reference	04_device_load_dispatch_chain	Device load dispatch chain	23	4	kernel_reimplementation
23_canonical_chains_reference	05_convergence_aid_chain	Convergence aid chain	23	5	kernel_reimplementation
23_canonical_chains_reference	06_sparse_solve_chain	Sparse solve chain	23	6	kernel_reimplementation
23_canonical_chains_reference	07_netlist_to_simulation_chain	Netlist to simulation chain	23	7	circuit_design_validation
23_canonical_chains_reference	08_convergence_failure_diagnosis_chain	Convergence failure diagnosis chain	23	8	circuit_design_validation
23_canonical_chains_reference	09_measure_extraction_chain	Measure extraction chain	23	9	circuit_design_validation
23_canonical_chains_reference	10_raw_output_consumption_chain	Raw output consumption chain	23	10	circuit_design_validation
23_canonical_chains_reference	11_behavioral_source_eval_chain	Behavioral source eval chain	23	11	kernel_reimplementation
23_canonical_chains_reference	12_subcircuit_expansion_chain	Subcircuit expansion chain	23	12	circuit_design_validation
23_canonical_chains_reference	13_shared_lib_api_chain	Shared library API chain	23	13	circuit_design_validation
24_glossary	01_numerical_kernel_terms	Numerical kernel terms	24	1	circuit_design_validation
24_glossary	02_device_modeling_terms	Device modeling terms	24	2	circuit_design_validation
24_glossary	03_frontend_circuit_design_terms	Frontend terms	24	3	circuit_design_validation
24_glossary	04_options_and_tolerances_terms	Options and tolerances terms	24	4	circuit_design_validation
24_glossary	05_output_format_terms	Output format terms	24	5	circuit_design_validation
24_glossary	06_mission_bridging_terms	Mission bridging terms	24	6	circuit_design_validation
